DT_FED,NU_MUN,NO_MUN,SECCION
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,186
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,187
1,16,CATAZAJA,188
1,16,CATAZAJA,188
1,16,CATAZAJA,191
1,16,CATAZAJA,191
1,16,CATAZAJA,192
1,16,CATAZAJA,192
1,16,CATAZAJA,193
1,16,CATAZAJA,193
1,16,CATAZAJA,193
1,16,CATAZAJA,193
1,16,CATAZAJA,194
1,16,CATAZAJA,194
1,16,CATAZAJA,195
1,16,CATAZAJA,195
1,16,CATAZAJA,196
1,50,LA LIBERTAD,692
1,50,LA LIBERTAD,692
1,50,LA LIBERTAD,692
1,50,LA LIBERTAD,693
1,50,LA LIBERTAD,693
1,50,LA LIBERTAD,694
1,50,LA LIBERTAD,696
1,50,LA LIBERTAD,696
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,944
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,945
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
1,65,PALENQUE,946
