DT_LOC,NU_MUN,NO_MUN,SECCION
1,102,Tuxtla Gutiérrez ,1603
1,102,Tuxtla Gutiérrez ,1604
1,102,Tuxtla Gutiérrez ,1605
1,102,Tuxtla Gutiérrez ,1607
1,102,Tuxtla Gutiérrez ,1608
1,102,Tuxtla Gutiérrez ,1609
1,102,Tuxtla Gutiérrez ,1610
1,102,Tuxtla Gutiérrez ,1611
1,102,Tuxtla Gutiérrez ,1612
1,102,Tuxtla Gutiérrez ,1618
1,102,Tuxtla Gutiérrez ,1619
1,102,Tuxtla Gutiérrez ,1620
1,102,Tuxtla Gutiérrez ,1621
1,102,Tuxtla Gutiérrez ,1622
1,102,Tuxtla Gutiérrez ,1623
1,102,Tuxtla Gutiérrez ,1624
1,102,Tuxtla Gutiérrez ,1625
1,102,Tuxtla Gutiérrez ,1626
1,102,Tuxtla Gutiérrez ,1627
1,102,Tuxtla Gutiérrez ,1628
1,102,Tuxtla Gutiérrez ,1629
1,102,Tuxtla Gutiérrez ,1630
1,102,Tuxtla Gutiérrez ,1631
1,102,Tuxtla Gutiérrez ,1653
1,102,Tuxtla Gutiérrez ,1655
1,102,Tuxtla Gutiérrez ,1656
1,102,Tuxtla Gutiérrez ,1657
1,102,Tuxtla Gutiérrez ,1659
1,102,Tuxtla Gutiérrez ,1660
1,102,Tuxtla Gutiérrez ,1661
1,102,Tuxtla Gutiérrez ,1662
1,102,Tuxtla Gutiérrez ,1663
1,102,Tuxtla Gutiérrez ,1684
1,102,Tuxtla Gutiérrez ,1685
1,102,Tuxtla Gutiérrez ,1686
1,102,Tuxtla Gutiérrez ,1750
1,102,Tuxtla Gutiérrez ,1751
1,102,Tuxtla Gutiérrez ,1754
1,102,Tuxtla Gutiérrez ,1930
1,102,Tuxtla Gutiérrez ,1931
1,102,Tuxtla Gutiérrez ,1932
1,102,Tuxtla Gutiérrez ,1933
1,102,Tuxtla Gutiérrez ,1934
1,102,Tuxtla Gutiérrez ,1935
1,102,Tuxtla Gutiérrez ,1936
1,102,Tuxtla Gutiérrez ,1937
1,102,Tuxtla Gutiérrez ,1938
1,102,Tuxtla Gutiérrez ,1939
1,102,Tuxtla Gutiérrez ,1940
1,102,Tuxtla Gutiérrez ,1941
1,102,Tuxtla Gutiérrez ,1942
1,102,Tuxtla Gutiérrez ,1943
1,102,Tuxtla Gutiérrez ,1944
1,102,Tuxtla Gutiérrez ,1945
1,102,Tuxtla Gutiérrez ,1946
1,102,Tuxtla Gutiérrez ,1947
1,102,Tuxtla Gutiérrez ,1948
1,102,Tuxtla Gutiérrez ,1949
1,102,Tuxtla Gutiérrez ,1950
1,102,Tuxtla Gutiérrez ,1951
1,102,Tuxtla Gutiérrez ,1952
1,102,Tuxtla Gutiérrez ,1953
1,102,Tuxtla Gutiérrez ,1954
1,102,Tuxtla Gutiérrez ,1955
1,102,Tuxtla Gutiérrez ,1956
1,102,Tuxtla Gutiérrez ,1957
1,102,Tuxtla Gutiérrez ,1958
1,102,Tuxtla Gutiérrez ,1959
1,102,Tuxtla Gutiérrez ,1960
1,102,Tuxtla Gutiérrez ,1961
1,102,Tuxtla Gutiérrez ,1962
1,102,Tuxtla Gutiérrez ,1963
1,102,Tuxtla Gutiérrez ,1964
1,102,Tuxtla Gutiérrez ,1965
1,102,Tuxtla Gutiérrez ,1966
1,102,Tuxtla Gutiérrez ,1967
1,102,Tuxtla Gutiérrez ,1968
1,102,Tuxtla Gutiérrez ,1969
1,102,Tuxtla Gutiérrez ,1970
1,102,Tuxtla Gutiérrez ,1971
