Cve Mpio,Secc,Localidad,Manzana,Colonia tipo,Colonia,Listado NOminal Total,PRIO
61,885,1,14,,,269,SI
61,885,1098,9999,,,256,SI
61,885,1,3,,,234,SI
61,885,1,47,,,231,SI
61,885,1,5,,,173,SI
61,885,1,33,,,167,SI
61,885,1,44,,,167,SI
61,885,1,17,,,155,SI
61,885,1,55,,,117,SI
61,885,1,2,,,115,SI
61,885,1,9,,,112,NO
61,885,1,19,,,88,NO
61,885,1,21,,,84,NO
61,885,1,10,,,83,NO
61,885,1,16,,,76,NO
61,885,1,11,,,73,NO
61,885,1,13,,,73,NO
61,885,581,9999,,,70,NO
61,885,1,23,,,69,NO
61,885,1,15,,,64,NO
61,885,1,6,,,62,NO
61,885,1,27,,,61,NO
61,885,1,12,,,60,NO
61,885,1,32,,,57,NO
61,885,912,9999,,,50,NO
61,885,1,4,,,48,NO
61,885,984,9999,,,48,NO
61,885,1,28,,,47,NO
61,885,1,29,,,46,NO
61,885,1,56,,,46,NO
61,885,1,1,,,40,NO
61,885,1,45,,,38,NO
61,885,1,42,,,33,NO
61,885,1,24,,,28,NO
61,885,1,35,,,28,NO
61,885,1,46,,,27,NO
61,885,1,48,,,27,NO
61,885,1,54,,,23,NO
61,885,1,49,,,22,NO
61,885,1,22,,,21,NO
61,885,1,57,,,21,NO
61,885,1,59,,,21,NO
61,885,1,66,,,21,NO
61,885,1,67,,,19,NO
61,885,1,36,,,17,NO
61,885,1,38,,,13,NO
61,885,1,50,,,13,NO
61,885,1,34,,,12,NO
61,885,1,39,,,12,NO
61,885,1,51,,,12,NO
61,885,241,9999,,,11,NO
61,885,1,41,,,8,NO
61,885,1,31,,,7,NO
61,885,1,53,,,6,NO
61,885,959,9999,,,5,NO
61,885,92,9999,,,3,NO
61,885,409,9999,,,3,NO
61,885,583,9999,,,3,NO
61,885,774,9999,,,3,NO
61,885,1,7,,,2,NO
61,885,1,20,,,2,NO
61,885,1,60,,,2,NO
61,885,1,62,,,2,NO
61,885,324,9999,,,2,NO
61,885,338,9999,,,1,NO
61,885,392,9999,,,1,NO
61,885,771,9999,,,1,NO
61,885,781,9999,,,1,NO
61,885,791,9999,,,1,NO
61,885,1099,9999,,,1,NO
61,885,24,9999,,,0,NO
61,886,1,6,,,139,NO
61,886,1,5,,,129,NO
61,886,1,20,,,123,NO
61,886,1,17,,,117,NO
61,886,1,1,,,96,NO
61,886,1,16,,,96,NO
61,886,1,19,,,95,NO
61,886,1,18,,,89,NO
61,886,1,12,,,83,NO
61,886,1,28,,,82,NO
61,886,1,4,,,81,NO
61,886,1,3,,,69,NO
61,886,1,13,,,69,NO
61,886,1,2,,,68,NO
61,886,1,14,,,67,NO
61,886,1,15,,,66,NO
61,886,1,25,,,66,NO
61,886,1,27,,,62,NO
61,886,1,26,,,59,NO
61,886,1,24,,,57,NO
61,887,1,44,,,247,SI
61,887,1,46,,,222,SI
61,887,1,65,,,203,SI
61,887,1,71,,,163,SI
61,887,1,58,,,152,SI
61,887,1,45,,,150,SI
61,887,1,70,,,147,SI
61,887,1,48,,,140,SI
61,887,1,20,,,139,SI
61,887,1,4,,,134,SI
61,887,1,7,,,133,SI
61,887,1,15,,,126,SI
61,887,1,56,,,119,SI
61,887,1,16,,,117,SI
61,887,1,72,,,107,SI
61,887,1,28,,,106,SI
61,887,1,68,,,102,SI
61,887,1,67,,,100,NO
61,887,1,52,,,93,NO
61,887,1,54,,,80,NO
61,887,1,62,,,80,NO
61,887,1,37,,,79,NO
61,887,1,2,,,74,NO
61,887,1,64,,,73,NO
61,887,1,51,,,72,NO
61,887,1,1,,,70,NO
61,887,1,50,,,67,NO
61,887,1,59,,,67,NO
61,887,1,63,,,67,NO
61,887,1,11,,,65,NO
61,887,1,60,,,64,NO
61,887,1,57,,,63,NO
61,887,1,14,,,58,NO
61,887,1,49,,,56,NO
61,887,1,29,,,55,NO
61,887,1,42,,,54,NO
61,887,1,6,,,52,NO
61,887,1,55,,,52,NO
61,887,1,69,,,52,NO
61,887,1,40,,,50,NO
61,887,1,61,,,49,NO
61,887,1,30,,,48,NO
61,887,1,32,,,47,NO
61,887,1,66,,,47,NO
61,887,1,3,,,46,NO
