MUNICIPIO,NOMBRE MUNICIPIO,DISTRITO FEDERAL,DISTRITO LOCAL,LISTADO NOMINAL,LISTADO NOMINAL PRIORITARIO,PORCENTAJE PRIORITARIO,MANZANA TOTAL,MANZANA PRIORITARIA,PORCENTAJE PARTICIPACION CIUDADANA,SECCION,SECCION PRIORITARIOS
102,TUXTLA GUTIERREZ,9,0,458351,231271,50.46,9504,1145,52.24,261,61
90,TAPACHULA,0,0,241174,122074,50.62,6918,1972,47.88,186,55
59,OCOSINGO,0,0,166019,83235,50.14,4406,907,60.11,86,24
77,SAN CRISTOBAL DE LAS CASAS,0,0,150003,75286,50.19,3289,707,51.26,61,17
19,COMITAN DE DOMINGUEZ,0,0,118255,59200,50.06,7856,748,57.53,63,20
52,LAS MARGARITAS,0,0,96528,49774,51.56,4633,834,67.0,52,16
65,PALENQUE,0,0,95242,49487,51.96,3753,611,62.57,39,13
31,CHILON,0,0,91112,45890,50.37,1244,312,73.66,46,16
109,VILLAFLORES,0,0,82425,41524,50.38,2932,715,68.19,48,17
27,CHIAPA DE CORZO,0,0,79025,40451,51.19,2287,522,62.24,39,20
23,CHAMULA,0,0,75014,39091,52.11,524,114,65.66,41,17
61,OCOZOCOUTLA,0,0,70832,36610,51.48,1929,572,63.8,31,9
97,TONALA,0,0,70357,36637,52.06,2505,531,56.06,45,15
17,CINTALAPA,0,0,64926,33174,51.1,2415,594,58.05,38,12
99,LA TRINITARIA,0,0,61316,32039,52.25,2396,689,70.76,36,14
57,MOTOZINTLA,0,0,56361,28397,52.96,732,194,58.33,29,10
34,Frontera Comalapa,0,0,54025,24430,50.64,1873,563,52.19,31,9
106,VENUSTIANO CARRANZA,0,0,49932,25070,52.68,1083,331,48.81,28,11
96,TILA,0,0,49430,29281,59.23,569,529,73.71,24,10
108,VILLACORZO,0,0,46938,24411,52.01,1734,367,65.08,26,9
40,HUIXTLA,0,0,39963,20736,51.89,1268,298,72.14,25,8
73,REFORMA,0,0,31089,16145,51.93,804,176,64.26,20,7
37,HUEHUETAN,0,0,28421,14213,50.01,917,184,68.92,18,6
13,BOCHIL,0,0,26947,12966,50.3,392,95,74.25,11,4
105,UNION JUAREZ,0,0,2487,743,50.64,505,117,73.57,8,3
89,SUNUAPA,0,0,2081,2081,100.0,22,22,89.71,1,1
68,PICHUCALCO,0,0,23399,11810,50.47,306,84,67.32,18,5
82,SIMOJOVEL,0,0,0,0,0.0,0,0,74.59,21,7
110,Yajalón,0,0,29045,15799,54.39,388,115,74.55,13,5
